condition,seed,final_best_fitness
crossover,1000,353.53883798846596
crossover,1001,428.1475533001149
crossover,1002,142.76722209554953
crossover,1003,143.77183939392114
crossover,1004,398.68974877230994
crossover,1005,5141.083398416841
crossover,1006,391.91871423435146
crossover,1007,780.4540034994992
crossover,1008,4825.519600145923
crossover,1009,258.5432284108283
crossover,1010,4963.224452784975
crossover,1011,117.86492353825912
crossover,1012,810.2412186734084
crossover,1013,4958.727290688948
crossover,1014,144.78039698690512
crossover,1015,4806.141227282713
crossover,1016,5033.897595491222
crossover,1017,5033.128151275309
crossover,1018,4775.431844861629
crossover,1019,4838.151688795782
crossover,1020,4938.979613336845
crossover,1021,4970.442382150848
crossover,1022,4950.442940026201
crossover,1023,143.14160460924919
crossover,1024,368.68824435541933
crossover,1025,5156.218593694937
crossover,1026,394.2604302259804
crossover,1027,143.23665433969157
crossover,1028,143.72274759312185
crossover,1029,4895.732802471327
mutation_only,2000,467.36362055417766
mutation_only,2001,143.1432123622455
mutation_only,2002,252.85823535350332
mutation_only,2003,143.33087351338946
mutation_only,2004,384.95797548089234
mutation_only,2005,4990.453952200243
mutation_only,2006,143.77741284156974
mutation_only,2007,348.57197503683807
mutation_only,2008,322.9186291022955
mutation_only,2009,4801.153314078269
mutation_only,2010,144.63477238489324
mutation_only,2011,472.56148362220176
mutation_only,2012,4972.862788110902
mutation_only,2013,4998.307824643891
mutation_only,2014,514.6006838757411
mutation_only,2015,5089.24304350463
mutation_only,2016,142.60634583062222
mutation_only,2017,141.9789073240238
mutation_only,2018,118.31148725096268
mutation_only,2019,142.2313223738745
mutation_only,2020,2720.5325414634817
mutation_only,2021,143.4957199420838
mutation_only,2022,352.5857474089648
mutation_only,2023,468.24270899988227
mutation_only,2024,118.12723069593939
mutation_only,2025,4922.336308027388
mutation_only,2026,5130.146855320741
mutation_only,2027,374.21380013965523
mutation_only,2028,588.4430255910306
mutation_only,2029,4996.252441490508
