condition,seed,final_best_fitness
crossover,1000,5183.665921266875
crossover,1001,5080.653397351894
crossover,1002,4999.224045920462
crossover,1003,3547.911370082214
crossover,1004,5196.8131112925885
crossover,1005,416.31951073907
crossover,1006,5158.007165165035
crossover,1007,5013.972805531141
crossover,1008,5004.367799483979
crossover,1009,5039.475793800657
crossover,1010,5036.793240656649
crossover,1011,4944.822753031296
crossover,1012,5192.527837282901
crossover,1013,5176.877633103814
crossover,1014,5167.004115606977
crossover,1015,5073.893925601795
crossover,1016,5017.533333744999
crossover,1017,5290.787795576429
crossover,1018,5142.439070776835
crossover,1019,5299.139709487778
crossover,1020,5225.393248784496
crossover,1021,5028.545288095856
crossover,1022,5255.94097650751
crossover,1023,5011.260382568584
crossover,1024,5026.62749999952
crossover,1025,5307.749550354337
crossover,1026,5066.215771146179
crossover,1027,5188.357078780239
crossover,1028,5128.458506265277
crossover,1029,383.77153229829673
mutation_only,2000,4943.705817293854
mutation_only,2001,5169.64519356754
mutation_only,2002,4976.240975363223
mutation_only,2003,5047.781958433489
mutation_only,2004,5225.938243201943
mutation_only,2005,5254.719969896875
mutation_only,2006,5130.310157623956
mutation_only,2007,419.0326881398898
mutation_only,2008,150.48361231900572
mutation_only,2009,5100.842332326483
mutation_only,2010,5114.583386503442
mutation_only,2011,5105.507989379416
mutation_only,2012,5007.425260487914
mutation_only,2013,5121.476249888
mutation_only,2014,5092.474008708217
mutation_only,2015,5280.757040080062
mutation_only,2016,5222.711177170055
mutation_only,2017,4999.21741586594
mutation_only,2018,5074.256294416175
mutation_only,2019,5235.437298380747
mutation_only,2020,5277.643809211161
mutation_only,2021,5370.453012384611
mutation_only,2022,366.54525344830154
mutation_only,2023,4995.5912668631445
mutation_only,2024,123.36303771807081
mutation_only,2025,786.3018908201692
mutation_only,2026,5251.898681150091
mutation_only,2027,5077.116073496672
mutation_only,2028,5104.752910159671
mutation_only,2029,5073.05466121113
