condition,seed,generation,best_fitness,mean_fitness
crossover,1000,0,149.09902950200083,18.149045129792754
crossover,1000,1,150.69661719477776,36.55254265486999
crossover,1000,2,176.06751600708483,37.940697263680235
crossover,1000,3,222.5593866394897,61.592810111747156
crossover,1000,4,355.543219028319,97.62885755763232
crossover,1000,5,363.4346804612255,110.30310605672156
crossover,1000,6,406.25355694815613,171.2482721575634
crossover,1000,7,406.25355694815613,214.0215994178975
crossover,1000,8,406.25355694815613,180.57830651046962
crossover,1000,9,406.25355694815613,204.6796598442774
crossover,1000,10,5083.319318289457,339.9503285772854
crossover,1000,11,5083.319318289457,323.1399908299975
crossover,1000,12,5083.319318289457,323.72167114646965
crossover,1000,13,5083.319318289457,478.1799869926715
crossover,1000,14,5083.319318289457,478.3811308094181
crossover,1000,15,5083.319318289457,518.9308151750918
crossover,1000,16,5097.219539038303,948.0145805444267
crossover,1000,17,5175.021578170922,1541.1741320366311
crossover,1000,18,5183.665921266875,2437.6042985579784
crossover,1000,19,5183.665921266875,2956.1875775700855
crossover,1001,0,98.12296164642892,2.832041216916437
crossover,1001,1,135.35181591676644,27.356781515680524
crossover,1001,2,135.35181591676644,40.77627138021001
crossover,1001,3,146.87351566846203,68.05639815578589
crossover,1001,4,336.6068648707826,74.0336945198701
crossover,1001,5,336.6068648707826,74.28066003723511
crossover,1001,6,370.8329133776696,80.169864490101
crossover,1001,7,370.8329133776696,104.56162080664217
crossover,1001,8,377.4321569785823,97.88840527034161
crossover,1001,9,380.3077040688706,121.42177007267632
crossover,1001,10,380.3077040688706,81.88168308869697
crossover,1001,11,380.3077040688706,131.65975596379607
crossover,1001,12,392.1234896383009,158.31932580814748
crossover,1001,13,404.42328933467337,216.82346468474452
crossover,1001,14,404.42328933467337,248.7590514174032
crossover,1001,15,404.42328933467337,266.89391306336887
crossover,1001,16,404.42328933467337,259.67697066961654
crossover,1001,17,404.42328933467337,297.0546000059954
crossover,1001,18,5015.268299664713,367.79742430663265
crossover,1001,19,5080.653397351894,541.922734888024
crossover,1002,0,140.59751364495824,7.7252304777829055
crossover,1002,1,145.78513243008678,26.764687924252176
crossover,1002,2,176.11030664879178,41.67811487308147
crossover,1002,3,176.11030664879178,44.042721368442706
crossover,1002,4,334.94448559184013,49.00059033757358
crossover,1002,5,334.94448559184013,72.27142996036712
crossover,1002,6,337.8091259841363,81.79594326755004
crossover,1002,7,348.2790059176965,143.87159197822152
crossover,1002,8,349.6540791495591,242.29814095001385
crossover,1002,9,370.9096187270124,164.90852570494482
crossover,1002,10,370.9096187270124,152.93115414005536
crossover,1002,11,396.6833412323702,203.79716067447515
crossover,1002,12,396.6833412323702,211.7548195018482
crossover,1002,13,480.7001245253819,213.53381710145933
crossover,1002,14,822.0564107027168,245.6318413345324
crossover,1002,15,825.4246652829377,304.90748520261536
crossover,1002,16,825.4246652829377,372.15926350256444
crossover,1002,17,4983.184847204993,510.50875212456657
crossover,1002,18,4983.184847204993,568.0449675789687
crossover,1002,19,4999.224045920462,815.6818061754321
crossover,1003,0,184.5693601927014,6.022954432768124
crossover,1003,1,371.56124328330077,35.35861989995815
crossover,1003,2,371.56124328330077,54.979560672784224
crossover,1003,3,371.84061892846535,87.69874865929654
crossover,1003,4,377.84100015516526,150.40703630591995
crossover,1003,5,381.58117121380496,162.52657709041625
crossover,1003,6,450.97785975697826,284.0618463866135
crossover,1003,7,450.97785975697826,156.48742121634226
crossover,1003,8,450.97785975697826,221.99240880875317
crossover,1003,9,450.97785975697826,200.49364432916516
crossover,1003,10,2499.8172097545353,306.29047149077786
crossover,1003,11,2499.8172097545353,286.63028316219527
crossover,1003,12,2499.8172097545353,368.0404411590045
crossover,1003,13,2687.9755164796206,504.5985650170285
crossover,1003,14,2687.9755164796206,601.4531300458306
crossover,1003,15,2728.8830131189143,766.7793159268523
crossover,1003,16,3547.911370082214,991.9981382149184
crossover,1003,17,3547.911370082214,1158.9440942177728
crossover,1003,18,3547.911370082214,746.9630939353045
crossover,1003,19,3547.911370082214,638.5658165368424
crossover,1004,0,63.73550642579251,0.786045685974856
crossover,1004,1,344.4411768431847,29.48296845339268
crossover,1004,2,359.79518060391507,54.27923900399363
crossover,1004,3,359.79518060391507,60.85384245208115
crossover,1004,4,386.5660910787492,84.89974932833482
crossover,1004,5,397.08035483924976,158.9465070997506
crossover,1004,6,4955.8043457325575,325.3161371565732
crossover,1004,7,5043.826543850406,673.0266652003327
crossover,1004,8,5156.9001235356345,1435.4532288237262
crossover,1004,9,5156.9001235356345,1575.9405775841115
crossover,1004,10,5173.56063054379,2397.4457276367766
crossover,1004,11,5173.56063054379,2072.4362256291956
crossover,1004,12,5175.946388469835,2983.7011062794895
crossover,1004,13,5175.946388469835,2693.5405404273747
crossover,1004,14,5178.779322780526,2217.241183052451
crossover,1004,15,5180.061504343942,2332.6855627333057
crossover,1004,16,5184.420611635091,2772.8351800859878
crossover,1004,17,5184.420611635091,2128.959965755011
crossover,1004,18,5188.8693935717865,2791.0238492417966
crossover,1004,19,5196.8131112925885,1751.244949570781
crossover,1005,0,92.41542616466617,-1.2059168474140856
crossover,1005,1,92.52303762107492,18.640734574395154
crossover,1005,2,140.5164078281043,36.208058870892614
crossover,1005,3,230.2913718652257,71.67958294447023
crossover,1005,4,230.2913718652257,44.69180079790691
crossover,1005,5,230.2913718652257,55.152854220346526
crossover,1005,6,402.51965112562596,63.63487906807335
crossover,1005,7,404.2006580015875,78.58787586524286
crossover,1005,8,407.31008506303704,152.69399049719206
crossover,1005,9,409.4059579695186,239.06653402375548
crossover,1005,10,409.4059579695186,303.91450816928887
crossover,1005,11,410.61890443429843,313.8423386862341
crossover,1005,12,410.61890443429843,252.5690209722287
crossover,1005,13,410.61890443429843,288.4923227772132
crossover,1005,14,411.7460570243287,305.12861462121043
crossover,1005,15,414.2122316882617,316.5375660125305
crossover,1005,16,414.8045453571794,313.4621145198554
crossover,1005,17,414.8045453571794,342.5638633125706
crossover,1005,18,416.31951073907,338.2933540245355
crossover,1005,19,416.31951073907,285.308764065872
crossover,1006,0,145.20037682318787,8.4000713364798
crossover,1006,1,145.20037682318787,33.478178251957274
crossover,1006,2,1221.2713347460183,87.59283185248233
crossover,1006,3,1221.2713347460183,115.5706199690211
crossover,1006,4,1221.2713347460183,199.46955733865678
crossover,1006,5,3592.6370642889196,318.88156869191505
crossover,1006,6,5102.3684700427775,681.1402496751655
crossover,1006,7,5102.3684700427775,569.6447505130672
crossover,1006,8,5102.3684700427775,1001.0874855668475
crossover,1006,9,5102.3684700427775,1127.446852365358
crossover,1006,10,5126.36198179456,1819.3343385566804
crossover,1006,11,5141.672081545195,2184.09252970655
crossover,1006,12,5141.672081545195,2418.336332997392
crossover,1006,13,5148.499470772989,2030.492454472746
crossover,1006,14,5148.499470772989,2012.8082683431708
crossover,1006,15,5148.499470772989,2667.8792178289436
crossover,1006,16,5152.460910475337,2456.4285313175465
crossover,1006,17,5152.460910475337,1733.2179328322768
crossover,1006,18,5153.717358231388,1967.2643193886254
crossover,1006,19,5158.007165165035,2802.2309891977634
crossover,1007,0,147.16752786664983,4.011011856228874
crossover,1007,1,336.0774320078573,33.06833303877476
crossover,1007,2,336.0774320078573,48.93514757322488
crossover,1007,3,342.11323129820084,72.06269011478845
crossover,1007,4,377.5387658796939,80.36276304989727
crossover,1007,5,377.5387658796939,104.72484023416798
crossover,1007,6,830.4573433206665,211.8089353775239
crossover,1007,7,830.4573433206665,325.08909888066677
crossover,1007,8,830.4573433206665,446.1100367119835
crossover,1007,9,837.2935236026502,403.8058521153047
crossover,1007,10,4943.777047486526,565.6310250702626
crossover,1007,11,5004.809350996052,836.777691112934
crossover,1007,12,5008.900030598355,918.8255659273763
crossover,1007,13,5008.900030598355,1176.6788700603545
crossover,1007,14,5008.900030598355,1108.5636888150275
crossover,1007,15,5008.900030598355,1302.3566273229062
crossover,1007,16,5013.972805531141,1448.8990814480476
crossover,1007,17,5013.972805531141,1281.9879527535393
crossover,1007,18,5013.972805531141,1089.7134870218542
crossover,1007,19,5013.972805531141,1592.8535220255185
crossover,1008,0,40.00056743064753,-6.98961517632631
crossover,1008,1,117.11762141565727,4.271895231903844
crossover,1008,2,117.11762141565727,17.476109870847868
crossover,1008,3,137.13517006456706,35.322789786919316
crossover,1008,4,140.33328334640592,43.72723240519749
crossover,1008,5,184.39523720780187,62.59186730380565
crossover,1008,6,184.39523720780187,67.51384574445851
crossover,1008,7,381.1597120466267,104.27454411082776
crossover,1008,8,381.1597120466267,154.40393544284956
crossover,1008,9,401.8959898277742,178.1056309176993
crossover,1008,10,3106.157742534062,326.5059761440173
crossover,1008,11,3106.157742534062,278.7428240127604
crossover,1008,12,3106.157742534062,301.63551052101553
crossover,1008,13,3106.157742534062,331.2961041385997
crossover,1008,14,3106.157742534062,386.66615297765975
crossover,1008,15,3106.157742534062,361.41704902221596
crossover,1008,16,3106.157742534062,387.50211099270405
crossover,1008,17,3106.157742534062,599.1222725742897
crossover,1008,18,4990.660972494579,832.8771223479827
crossover,1008,19,5004.367799483979,947.4123708425584
crossover,1009,0,142.89788379792833,6.398600676240179
crossover,1009,1,144.399272903513,24.840138612714
crossover,1009,2,366.1712596836545,36.95591141008686
crossover,1009,3,366.1712596836545,52.93063407677549
crossover,1009,4,366.1712596836545,55.46077293089855
crossover,1009,5,366.1712596836545,52.853132002924916
crossover,1009,6,378.59697769286686,76.74448385513573
crossover,1009,7,380.84219224232913,129.36342606668072
crossover,1009,8,389.4220653057125,134.14434500113177
crossover,1009,9,444.1853087185897,231.9797110683498
crossover,1009,10,444.1853087185897,283.9419790390785
crossover,1009,11,827.0801522622501,368.36713795596705
crossover,1009,12,827.0801522622501,330.38785732147215
crossover,1009,13,4978.684723940791,529.383804168207
crossover,1009,14,4978.684723940791,655.8014806849437
crossover,1009,15,4979.469023159777,1092.520314319318
crossover,1009,16,5000.480880847928,1071.6461535751494
crossover,1009,17,5039.475793800657,1313.4797764922412
crossover,1009,18,5039.475793800657,957.5790129024673
crossover,1009,19,5039.475793800657,943.6544183487078
crossover,1010,0,41.46173209276969,1.0031339374037993
crossover,1010,1,99.30081372814126,19.99159552314157
crossover,1010,2,119.87052607437504,12.647542620501703
crossover,1010,3,122.5473952465359,30.42123648699231
crossover,1010,4,146.8228218951123,44.09946758098549
crossover,1010,5,344.48693928802845,65.24790877478351
crossover,1010,6,396.94823801924866,77.88456095642547
crossover,1010,7,396.94823801924866,106.49492999584669
crossover,1010,8,396.94823801924866,119.559548973936
crossover,1010,9,442.09629810647886,115.83784532601815
crossover,1010,10,442.09629810647886,85.5628682904894
crossover,1010,11,442.09629810647886,95.29941024494363
crossover,1010,12,4965.810002495449,307.3652050756437
crossover,1010,13,4965.810002495449,340.79987484015624
crossover,1010,14,4965.810002495449,499.0908686698173
crossover,1010,15,4965.810002495449,607.240657155176
crossover,1010,16,4965.810002495449,806.3503012965444
crossover,1010,17,4975.94678351698,1202.9194815636818
crossover,1010,18,5002.638026208128,1869.951615855046
crossover,1010,19,5036.793240656649,1356.7689598176887
