condition,seed,generation,best_fitness,mean_fitness
crossover,1000,0,137.34465887448783,1.2113187011068456
crossover,1000,1,139.2968400966704,38.603438139718264
crossover,1000,2,139.67358672850713,71.70941474818306
crossover,1000,3,139.67358672850713,71.27935300626214
crossover,1000,4,139.67358672850713,55.784902059866354
crossover,1000,5,143.1949540198134,98.38543115371411
crossover,1000,6,264.559414444601,91.33379357398697
crossover,1000,7,348.64412410143916,114.71605271423573
crossover,1000,8,348.64412410143916,170.9240250391787
crossover,1000,9,348.64412410143916,223.50840939850295
crossover,1000,10,348.64412410143916,192.1620379967176
crossover,1000,11,348.64412410143916,221.54211486061965
crossover,1000,12,349.965146430897,179.08437784432817
crossover,1000,13,349.965146430897,233.3862885679447
crossover,1000,14,349.965146430897,200.64908235699946
crossover,1000,15,349.965146430897,240.43500800749976
crossover,1000,16,349.965146430897,192.10738421716408
crossover,1000,17,351.4705875924834,223.27791799405898
crossover,1000,18,353.53883798846596,205.29327950434856
crossover,1000,19,353.53883798846596,283.078399966311
crossover,1001,0,63.36275007755009,-0.681314396065633
crossover,1001,1,63.53422821249325,11.147486372584199
crossover,1001,2,84.28668625357732,42.55342514158948
crossover,1001,3,84.28668625357732,23.768595070768804
crossover,1001,4,116.00805821765407,48.9197422389008
crossover,1001,5,116.00805821765407,50.54554813349721
crossover,1001,6,116.00805821765407,48.849987968613924
crossover,1001,7,116.00805821765407,52.78209443425296
crossover,1001,8,302.9797860662215,85.75263779755386
crossover,1001,9,302.9797860662215,68.3026514299543
crossover,1001,10,306.72751123422546,86.53368575201087
crossover,1001,11,306.72751123422546,124.52871004305644
crossover,1001,12,311.6087407438573,149.4180418611753
crossover,1001,13,382.9051760836691,245.2382810165783
crossover,1001,14,382.9051760836691,195.55153917742473
crossover,1001,15,415.42934576798586,214.7900458837486
crossover,1001,16,415.82845122809346,297.44809483293153
crossover,1001,17,418.48653127283296,223.83172992062597
crossover,1001,18,428.1475533001149,278.99931340393846
crossover,1001,19,428.1475533001149,240.02443611098883
crossover,1002,0,40.51358365976829,-4.320641514638116
crossover,1002,1,58.67544376887473,8.236769536591181
crossover,1002,2,83.38077633682653,41.48926152186518
crossover,1002,3,116.66298088913791,75.3347134626803
crossover,1002,4,116.66298088913791,84.2058573516489
crossover,1002,5,118.10494776458015,92.10190819935993
crossover,1002,6,119.88852372652771,103.40848594177079
crossover,1002,7,119.88852372652771,117.48072470509207
crossover,1002,8,119.94975963695948,108.63742969233505
crossover,1002,9,142.151089510086,119.69673880689888
crossover,1002,10,142.151089510086,104.0544475720204
crossover,1002,11,142.46155858538006,125.96879751840171
crossover,1002,12,142.58708407762364,120.17750568305927
crossover,1002,13,142.58708407762364,114.96734273095679
crossover,1002,14,142.58708407762364,132.03759315045744
crossover,1002,15,142.58708407762364,116.91237595547133
crossover,1002,16,142.58708407762364,123.52320959238429
crossover,1002,17,142.67166737157544,117.35142890222838
crossover,1002,18,142.67166737157544,124.18725331503865
crossover,1002,19,142.76722209554953,120.9144262825439
crossover,1003,0,85.04809589931965,-3.664877403967344
crossover,1003,1,116.22035187137688,6.918944799904998
crossover,1003,2,116.84564725076366,39.37838121033361
crossover,1003,3,119.7670749686683,67.91810684174064
